ID,A1,dPMC,M1,vPMC
sub-0001/LEFT,56.9%,26.4%,23.2%,34.4%
sub-0002/LEFT,47.8%,36.9%,31.6%,36.2%
sub-0003/LEFT,50.2%,30.8%,35.0%,38.0%
sub-0004/LEFT,48.2%,39.2%,25.6%,37.9%
sub-0005/LEFT,60.0%,30.3%,26.1%,37.7%
sub-0007/LEFT,56.7%,30.8%,23.0%,38.1%
sub-0008/LEFT,48.1%,24.4%,29.8%,48.7%
sub-0011/LEFT,59.4%,35.6%,27.3%,35.9%
sub-0012/LEFT,51.6%,45.7%,37.9%,39.3%
sub-0013/LEFT,46.0%,34.7%,35.8%,54.6%
sub-0014/LEFT,50.2%,33.8%,35.4%,30.3%
sub-0015/LEFT,52.7%,41.7%,34.3%,35.9%
sub-0016/LEFT,61.4%,51.4%,62.6%,84.4%
sub-0018/LEFT,53.3%,44.3%,40.9%,41.9%
sub-0020/LEFT,66.9%,36.9%,23.4%,32.9%
sub-0021/LEFT,53.4%,29.9%,47.1%,47.1%
sub-0023/LEFT,99.9%,100.0%,99.9%,99.9%
sub-0024/LEFT,55.7%,32.8%,22.2%,31.5%
sub-0025/LEFT,58.7%,38.0%,42.2%,49.3%
sub-0026/LEFT,54.4%,29.7%,28.7%,41.7%
sub-0028/LEFT,50.0%,27.2%,19.9%,35.7%
sub-0029/LEFT,48.7%,28.4%,25.1%,35.5%
sub-0030/LEFT,60.4%,33.0%,20.9%,40.3%
sub-0031/LEFT,55.4%,31.4%,29.7%,53.1%
sub-0032/LEFT,47.5%,28.8%,34.5%,30.2%
sub-0033/LEFT,59.4%,27.7%,24.0%,34.8%
sub-0035/LEFT,47.6%,36.2%,34.9%,29.5%
sub-0036/LEFT,54.4%,57.2%,33.7%,40.0%
sub-0037/LEFT,57.2%,38.8%,38.7%,48.6%
sub-0040/LEFT,58.9%,36.1%,24.7%,40.6%
sub-0045/LEFT,47.0%,42.4%,38.0%,35.5%
sub-0046/LEFT,46.8%,31.1%,31.0%,41.8%
sub-0047/LEFT,52.1%,29.9%,23.5%,33.2%
sub-0048/LEFT,51.5%,28.1%,23.4%,29.0%
sub-0049/LEFT,63.4%,26.8%,25.1%,32.4%
sub-0050/LEFT,57.0%,30.3%,27.2%,32.1%
sub-0052/LEFT,62.5%,39.0%,37.6%,45.2%
sub-0055/LEFT,57.6%,67.2%,84.1%,29.1%
sub-0056/LEFT,56.0%,32.4%,23.8%,32.0%
sub-0058/LEFT,46.1%,55.8%,73.7%,33.2%
sub-0063/LEFT,58.8%,29.6%,24.4%,46.6%
sub-0064/LEFT,51.5%,31.8%,43.8%,43.0%
sub-0065/LEFT,61.3%,34.5%,24.1%,38.4%
sub-0069/LEFT,51.6%,31.0%,39.0%,29.5%
sub-0070/LEFT,58.9%,27.8%,26.0%,35.0%
sub-0074/LEFT,48.0%,31.3%,41.6%,31.6%
sub-0076/LEFT,55.4%,37.7%,30.6%,33.4%
sub-0077/LEFT,54.1%,28.3%,19.9%,37.6%
sub-0082/LEFT,66.0%,59.0%,50.0%,54.8%
sub-0083/LEFT,92.5%,73.7%,73.4%,70.3%
sub-0084/LEFT,49.1%,29.4%,22.0%,31.8%
sub-0086/LEFT,62.9%,50.7%,30.8%,40.1%
sub-0087/LEFT,50.3%,65.1%,28.9%,72.7%
sub-0090/LEFT,60.4%,34.7%,26.2%,34.9%
sub-0091/LEFT,45.5%,47.0%,35.7%,59.0%
sub-0093/LEFT,74.2%,73.0%,66.9%,68.2%
sub-0094/LEFT,53.7%,28.1%,25.0%,32.9%
sub-0097/LEFT,45.9%,28.9%,25.0%,35.8%
sub-0099/LEFT,44.1%,29.5%,24.1%,31.5%
sub-0101/LEFT,55.1%,27.1%,26.7%,31.8%
sub-0102/LEFT,60.2%,27.4%,21.6%,38.9%
sub-0103/LEFT,99.7%,99.1%,99.6%,99.6%
sub-0104/LEFT,64.9%,30.7%,28.8%,31.0%
sub-0105/LEFT,47.6%,29.3%,28.7%,39.2%
sub-0106/LEFT,61.3%,31.1%,27.2%,31.3%
sub-0134/LEFT,53.8%,32.0%,22.7%,45.4%
sub-0145/LEFT,46.9%,32.9%,27.6%,35.9%
sub-0146/LEFT,50.4%,38.7%,28.0%,30.8%
sub-0148/LEFT,59.2%,74.4%,56.9%,69.3%
sub-0149/LEFT,46.3%,27.2%,21.1%,30.0%
sub-0150/LEFT,53.3%,28.4%,25.7%,36.1%
sub-0151/LEFT,60.3%,31.6%,37.0%,47.8%
sub-0152/LEFT,54.5%,25.1%,26.4%,30.9%
sub-0154/LEFT,61.9%,29.3%,23.6%,37.4%
sub-0156/LEFT,56.5%,32.8%,22.8%,38.6%
sub-0157/LEFT,54.3%,30.3%,22.6%,37.9%
sub-0166/LEFT,50.1%,26.9%,19.5%,31.3%
sub-0169/LEFT,66.5%,32.9%,29.3%,36.7%
sub-0171/LEFT,51.9%,35.7%,19.6%,35.8%
sub-0172/LEFT,51.2%,50.3%,52.9%,31.1%
sub-0174/LEFT,79.0%,40.5%,67.4%,48.8%
sub-0175/LEFT,57.4%,32.8%,24.1%,29.8%
sub-0176/LEFT,99.0%,99.9%,99.9%,99.9%
sub-0179/LEFT,45.0%,24.4%,26.4%,32.2%
sub-0181/LEFT,50.8%,32.2%,25.7%,30.1%
sub-0184/LEFT,44.7%,61.3%,37.9%,32.6%
sub-0191/LEFT,100.0%,99.9%,100.0%,99.9%
sub-0195/LEFT,47.9%,25.2%,20.7%,42.7%
sub-0208/LEFT,53.6%,34.1%,40.3%,36.7%
sub-0210/LEFT,55.4%,24.5%,24.7%,31.0%
sub-0001/RIGHT,54.9%,24.5%,21.5%,31.7%
sub-0002/RIGHT,53.3%,32.6%,30.2%,35.8%
sub-0003/RIGHT,47.4%,39.4%,45.1%,38.5%
sub-0004/RIGHT,48.8%,34.9%,29.1%,28.3%
sub-0005/RIGHT,49.1%,32.4%,29.9%,33.5%
sub-0007/RIGHT,48.2%,29.0%,26.6%,32.4%
sub-0008/RIGHT,52.3%,33.8%,30.7%,53.8%
sub-0011/RIGHT,58.5%,31.4%,33.7%,29.9%
sub-0012/RIGHT,51.6%,45.7%,37.9%,39.3%
sub-0013/RIGHT,56.9%,35.3%,27.5%,41.2%
sub-0014/RIGHT,61.6%,37.7%,31.5%,34.6%
sub-0015/RIGHT,62.6%,36.7%,36.5%,39.5%
sub-0016/RIGHT,83.0%,57.3%,68.4%,84.2%
